Common Name,Scientific Name
Blue-throated Brown Sunbird,Cyanomitra cyanolaema
Olive Sunbird,Cyanomitra olivacea
Mouse-colored Sunbird,Cyanomitra veroxii
Green-headed Sunbird,Cyanomitra verticalis
Iberian Magpie,Cyanopica cooki
Azure-winged Magpie,Cyanopica cyanus
Zappey's Flycatcher,Cyanoptila cumatilis
Blue-and-white Flycatcher,Cyanoptila cyanomelana
Red-crowned Parakeet,Cyanoramphus novaezelandiae
Rufous-browed Peppershrike,Cyclarhis gujanensis
Black-billed Peppershrike,Cyclarhis nigrirostris
Black Swan,Cygnus atratus
Trumpeter Swan,Cygnus buccinator
Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Black-necked Swan,Cygnus melancoryphus
Mute Swan,Cygnus olor
Fasciated Antshrike,Cymbilaimus lineatus
Bamboo Antshrike,Cymbilaimus sanctaemariae
Black-and-red Broadbill,Cymbirhynchus macrorhynchos
Broad-billed Hummingbird,Cynanthus latirostris
Sunda Blue Flycatcher,Cyornis caerulatus
White-tailed Flycatcher,Cyornis concretus
Chinese Blue Flycatcher,Cyornis glaucicomans
Hainan Blue Flycatcher,Cyornis hainanus
Blue-fronted Flycatcher,Cyornis hoevelli
Fulvous-chested Jungle-Flycatcher,Cyornis olivaceus
Sulawesi Blue Flycatcher,Cyornis omissus
White-bellied Blue Flycatcher,Cyornis pallidipes
Pale-chinned Blue Flycatcher,Cyornis poliogenys
Blue-throated Flycatcher,Cyornis rubeculoides
Mangrove Blue Flycatcher,Cyornis rufigastra
Indochinese Blue Flycatcher,Cyornis sumatrensis
Bornean Blue Flycatcher,Cyornis superbus
Tickell's Blue Flycatcher,Cyornis tickelliae
Malaysian Blue Flycatcher,Cyornis turcosus
Gray-chested Jungle-Flycatcher,Cyornis umbratilis
Pale Blue Flycatcher,Cyornis unicolor
Hill Blue Flycatcher,Cyornis whitei
Musician Wren,Cyphorhinus arada
Song Wren,Cyphorhinus phaeocephalus
Chestnut-breasted Wren,Cyphorhinus thoracicus
Black Swift,Cypseloides niger
Asian Palm-Swift,Cypsiurus balasiensis
African Palm-Swift,Cypsiurus parvus
White-rumped Tanager,Cypsnagra hirundinacea
Montezuma Quail,Cyrtonyx montezumae
Ocellated Quail,Cyrtonyx ocellatus
Columbian Trig,Cyrtoxipha columbiana
Rufous-bellied Kookaburra,Dacelo gaudichaud
Blue-winged Kookaburra,Dacelo leachii
Laughing Kookaburra,Dacelo novaeguineae
Blue Dacnis,Dacnis cayana
Yellow-bellied Dacnis,Dacnis flaviventer
Black-faced Dacnis,Dacnis lineata
Scarlet-thighed Dacnis,Dacnis venusta
Singing Quail,Dactylortyx thoracicus
Varied Sittella,Daphoenositta chrysoptera
Cape Petrel,Daption capense
Black Caracara,Daptrius ater
Scale-feathered Malkoha,Dasylophus cumingi
Eastern Bristlebird,Dasyornis brachypterus
Rufous Bristlebird,Dasyornis broadbenti
Western Bristlebird,Dasyornis longirostris
Long-tailed Woodcreeper,Deconychura longicauda
Asian House-Martin,Delichon dasypus
Common House-Martin,Delichon urbicum
Sooty Grouse,Dendragapus fuliginosus
Dusky Grouse,Dendragapus obscurus
Cinnamon-throated Woodcreeper,Dendrexetastes rufigula
Tawny-winged Woodcreeper,Dendrocincla anabatina
Plain-brown Woodcreeper,Dendrocincla fuliginosa
Ruddy Woodcreeper,Dendrocincla homochroa
White-chinned Woodcreeper,Dendrocincla merula
Plain-winged Woodcreeper,Dendrocincla turdina
Tyrannine Woodcreeper,Dendrocincla tyrannina
Bornean Treepie,Dendrocitta cinerascens
Gray Treepie,Dendrocitta formosae
White-bellied Treepie,Dendrocitta leucogastra
Rufous Treepie,Dendrocitta vagabunda
Amazonian Barred-Woodcreeper,Dendrocolaptes certhia
Black-banded Woodcreeper,Dendrocolaptes picumnus
Planalto Woodcreeper,Dendrocolaptes platyrostris
Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae
Freckle-breasted Woodpecker,Dendrocopos analis
Darjeeling Woodpecker,Dendrocopos darjellensis
Himalayan Woodpecker,Dendrocopos himalayensis
Rufous-bellied Woodpecker,Dendrocopos hyperythrus
White-winged Woodpecker,Dendrocopos leucopterus
White-backed Woodpecker,Dendrocopos leucotos
Fulvous-breasted Woodpecker,Dendrocopos macei
Great Spotted Woodpecker,Dendrocopos major
Syrian Woodpecker,Dendrocopos syriacus
Brown-fronted Woodpecker,Dendrocoptes auriceps
Middle Spotted Woodpecker,Dendrocoptes medius
Wandering Whistling-Duck,Dendrocygna arcuata
Black-bellied Whistling-Duck,Dendrocygna autumnalis
Fulvous Whistling-Duck,Dendrocygna bicolor
Plumed Whistling-Duck,Dendrocygna eytoni
Lesser Whistling-Duck,Dendrocygna javanica
White-faced Whistling-Duck,Dendrocygna viduata
Chestnut-winged Foliage-gleaner,Dendroma erythroptera
Buff-fronted Foliage-gleaner,Dendroma rufa
Forest Wagtail,Dendronanthus indicus
Straight-billed Woodcreeper,Dendroplex picus
Bearded Wood-Partridge,Dendrortyx barbatus
Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
Long-tailed Wood-Partridge,Dendrortyx macroura
Red-fan Parrot,Deroptyus accipitrinus
Midget Flowerpecker,Dicaeum aeneum
Thick-billed Flowerpecker,Dicaeum agile
Red-keeled Flowerpecker,Dicaeum australe
Yellow-vented Flowerpecker,Dicaeum chrysorrheum
Nilgiri Flowerpecker,Dicaeum concolor
Scarlet-backed Flowerpecker,Dicaeum cruentatum
Pale-billed Flowerpecker,Dicaeum erythrorhynchos
Mistletoebird,Dicaeum hirundinaceum
Fire-breasted Flowerpecker,Dicaeum ignipectus
Plain Flowerpecker,Dicaeum minullum
Pygmy Flowerpecker,Dicaeum pygmaeum
Orange-bellied Flowerpecker,Dicaeum trigonostigma
Mottled Flowerpecker,Dicaeum tristrami
Banded Antbird,Dichrozona cincta
Fork-tailed Drongo,Dicrurus adsimilis
Bronzed Drongo,Dicrurus aeneus
Andaman Drongo,Dicrurus andamanensis
Crow-billed Drongo,Dicrurus annectens
Shining Drongo,Dicrurus atripennis
Balicassiao,Dicrurus balicassius
Spangled Drongo,Dicrurus bracteatus
White-bellied Drongo,Dicrurus caerulescens
Glossy-backed Drongo,Dicrurus divaricatus
Crested Drongo,Dicrurus forficatus
Hair-crested Drongo,Dicrurus hottentottus
Ashy Drongo,Dicrurus leucophaeus
Common Square-tailed Drongo,Dicrurus ludwigii
Black Drongo,Dicrurus macrocercus
Sulawesi Drongo,Dicrurus montanus
Greater Racket-tailed Drongo,Dicrurus paradiseus
Lesser Racket-tailed Drongo,Dicrurus remifer
White-sided Flowerpiercer,Diglossa albilatera
Cinnamon-bellied Flowerpiercer,Diglossa baritula
Black-throated Flowerpiercer,Diglossa brunneiventris
Bluish Flowerpiercer,Diglossa caerulescens
Masked Flowerpiercer,Diglossa cyanea
Deep-blue Flowerpiercer,Diglossa glauca
Chestnut-bellied Flowerpiercer,Diglossa gloriosissima
Black Flowerpiercer,Diglossa humeralis
Indigo Flowerpiercer,Diglossa indigotica
Glossy Flowerpiercer,Diglossa lafresnayii
Moustached Flowerpiercer,Diglossa mystacalis
Slaty Flowerpiercer,Diglossa plumbea
Rusty Flowerpiercer,Diglossa sittoides
White-headed Buffalo-Weaver,Dinemellia dinemelli
Black-rumped Flameback,Dinopium benghalense
Common Flameback,Dinopium javanense
Olive-backed Woodpecker,Dinopium rafflesii
Wandering Albatross,Diomedea exulans
Red-shouldered Macaw,Diopsittaca nobilis
Diuca Finch,Diuca diuca
Melodious Blackbird,Dives dives
Scrub Blackbird,Dives warczewiczi
Dog,Dog
Bobolink,Dolichonyx oryzivorus
Black-capped Donacobius,Donacobius atricapilla
Long-tailed Reed Finch,Donacospiza albifrons
Green-fronted Lancebill,Doryfera ludovicae
Iiwi,Drepanis coccinea
Black-billed Sicklebill,Drepanornis albertisi
Crab-Plover,Dromas ardeola
Pavonine Cuckoo,Dromococcyx pavoninus
Pheasant Cuckoo,Dromococcyx phasianellus
Southern Scrub-Robin,Drymodes brunneopygia
East Andean Antbird,Drymophila caudata
Striated Antbird,Drymophila devillei
Ferruginous Antbird,Drymophila ferruginea
Rufous-tailed Antbird,Drymophila genei
Santa Marta Antbird,Drymophila hellmayri
Klages's Antbird,Drymophila klagesi
Dusky-tailed Antbird,Drymophila malura
Ochre-rumped Antbird,Drymophila ochropyga
Bertoni's Antbird,Drymophila rubricollis
Scaled Antbird,Drymophila squamata
Streak-headed Antbird,Drymophila striaticeps
Scimitar-billed Woodcreeper,Drymornis bridgesii
Red-stained Woodpecker,Dryobates affinis
White-headed Woodpecker,Dryobates albolarvatus
Arizona Woodpecker,Dryobates arizonae
Red-cockaded Woodpecker,Dryobates borealis
Scarlet-backed Woodpecker,Dryobates callonotus
Golden-collared Woodpecker,Dryobates cassini
Crimson-breasted Woodpecker,Dryobates cathpharius
Yellow-vented Woodpecker,Dryobates dignus
Dot-fronted Woodpecker,Dryobates frontalis
Smoky-brown Woodpecker,Dryobates fumigatus
Red-rumped Woodpecker,Dryobates kirkii
Striped Woodpecker,Dryobates lignarius
Yellow-eared Woodpecker,Dryobates maculifrons
Lesser Spotted Woodpecker,Dryobates minor
Checkered Woodpecker,Dryobates mixtus
Bar-bellied Woodpecker,Dryobates nigriceps
Nuttall's Woodpecker,Dryobates nuttallii
Little Woodpecker,Dryobates passerinus
Downy Woodpecker,Dryobates pubescens
Ladder-backed Woodpecker,Dryobates scalaris
White-spotted Woodpecker,Dryobates spilogaster
Strickland's Woodpecker,Dryobates stricklandi
Hairy Woodpecker,Dryobates villosus
White-bellied Woodpecker,Dryocopus javensis
Lineated Woodpecker,Dryocopus lineatus
Black Woodpecker,Dryocopus martius
Pileated Woodpecker,Dryocopus pileatus
Black-bodied Woodpecker,Dryocopus schulzii
White-throated Rail,Dryolimnas cuvieri
Pine Barrens Treefrog,Dryophytes andersonii
Canyon Treefrog,Dryophytes arenicolor
Bird-voiced Treefrog,Dryophytes avivoca
Cope's Gray Treefrog,Dryophytes chrysoscelis
Green Treefrog,Dryophytes cinereus
Pine Woods Treefrog,Dryophytes femoralis
Barking Treefrog,Dryophytes gratiosus
Squirrel Treefrog,Dryophytes squirellus
Gray Treefrog,Dryophytes versicolor
Black-backed Puffback,Dryoscopus cubla
Northern Puffback,Dryoscopus gambensis
Congo Serpent-Eagle,Dryotriorchis spectabilis
Chestnut-bellied Mountain Tanager,Dubusia castaneoventris
Buff-breasted Mountain Tanager,Dubusia taeniata
Green Imperial-Pigeon,Ducula aenea
Mountain Imperial-Pigeon,Ducula badia
Cinnamon-bellied Imperial-Pigeon,Ducula basilica
Pied Imperial-Pigeon,Ducula bicolor
Elegant Imperial-Pigeon,Ducula concinna
Dark-backed Imperial-Pigeon,Ducula lacernulata
Peale's Imperial-Pigeon,Ducula latrans
Pacific Imperial-Pigeon,Ducula pacifica
Spectacled Imperial-Pigeon,Ducula perspicillata
Pinon's Imperial-Pigeon,Ducula pinon
Island Imperial-Pigeon,Ducula pistrinaria
Pink-bellied Imperial-Pigeon,Ducula poliocephala
Red-knobbed Imperial-Pigeon,Ducula rubricera
Torresian Imperial-Pigeon,Ducula spilorrhoa
Zoe's Imperial-Pigeon,Ducula zoeae
Palmchat,Dulus dominicus
Gray Catbird,Dumetella carolinensis
Dark-fronted Babbler,Dumetia atriceps
Tawny-bellied Babbler,Dumetia hyperythra
White-streaked Antvireo,Dysithamnus leucostictus
Plain Antvireo,Dysithamnus mentalis
Bicolored Antvireo,Dysithamnus occidentalis
Plumbeous Antvireo,Dysithamnus plumbeus
Spot-crowned Antvireo,Dysithamnus puncticeps
Spot-breasted Antvireo,Dysithamnus stictothorax
Streak-crowned Antvireo,Dysithamnus striaticeps
Rufous-backed Antvireo,Dysithamnus xanthopterus
Eclectus Parrot,Eclectus roratus
Black-bellied Cicadabird,Edolisoma montanum
Common Cicadabird,Edolisoma tenuirostre
Little Blue Heron,Egretta caerulea
Chinese Egret,Egretta eulophotes
Little Egret,Egretta garzetta
Western Reef-Heron,Egretta gularis
White-faced Heron,Egretta novaehollandiae
Reddish Egret,Egretta rufescens
Pacific Reef-Heron,Egretta sacra
Snowy Egret,Egretta thula
Tricolored Heron,Egretta tricolor
Spotted Elachura,Elachura formosa
White-crested Elaenia,Elaenia albiceps
Coopmans's Elaenia,Elaenia brachyptera
Lesser Elaenia,Elaenia chiriquensis
Plain-crested Elaenia,Elaenia cristata
Greater Antillean Elaenia,Elaenia fallax
Yellow-bellied Elaenia,Elaenia flavogaster
Mountain Elaenia,Elaenia frantzii
Mottle-backed Elaenia,Elaenia gigas
Caribbean Elaenia,Elaenia martinica
Olivaceous Elaenia,Elaenia mesoleuca
Highland Elaenia,Elaenia obscura
Tepui Elaenia,Elaenia olivina
Sierran Elaenia,Elaenia pallatangae
Small-billed Elaenia,Elaenia parvirostris
Rufous-crowned Elaenia,Elaenia ruficeps
Small-headed Elaenia,Elaenia sordida
Large Elaenia,Elaenia spectabilis
Slaty Elaenia,Elaenia strepera
Swallow-tailed Kite,Elanoides forficatus
Black-winged Kite,Elanus caeruleus
White-tailed Kite,Elanus leucurus
Keel-billed Motmot,Electron carinatum
Broad-billed Motmot,Electron platyrhynchum
White-breasted Tapaculo,Eleoscytalopus indigoticus
Sickle-winged Nightjar,Eleothreptus anomalus
Greenhouse Frog,Eleutherodactylus planirostris
White-bellied Hummingbird,Elliotomyia chionogaster
White-tailed Crested-Flycatcher,Elminia albonotata
African Blue Flycatcher,Elminia longicauda
Black-fronted Dotterel,Elseyornis melanops
Sickle-winged Chat,Emarginata sinuata
Yellow-breasted Bunting,Emberiza aureola
Red-headed Bunting,Emberiza bruniceps
Gray-necked Bunting,Emberiza buchanani
Cabanis's Bunting,Emberiza cabanisi
Cretzschmar's Bunting,Emberiza caesia
Corn Bunting,Emberiza calandra
Cape Bunting,Emberiza capensis
Yellow-browed Bunting,Emberiza chrysophrys
Rock Bunting,Emberiza cia
Cinereous Bunting,Emberiza cineracea
Meadow Bunting,Emberiza cioides
Cirl Bunting,Emberiza cirlus
Yellowhammer,Emberiza citrinella
Yellow-throated Bunting,Emberiza elegans
Golden-breasted Bunting,Emberiza flaviventris
Chestnut-eared Bunting,Emberiza fucata
Godlewski's Bunting,Emberiza godlewskii
Ortolan Bunting,Emberiza hortulana
Lark-like Bunting,Emberiza impetuani
Crested Bunting,Emberiza lathami
Pine Bunting,Emberiza leucocephalos
Black-headed Bunting,Emberiza melanocephala
Pallas's Bunting,Emberiza pallasi
Little Bunting,Emberiza pusilla
Rustic Bunting,Emberiza rustica
House Bunting,Emberiza sahari
Reed Bunting,Emberiza schoeniclus
Black-faced Bunting,Emberiza spodocephala
White-capped Bunting,Emberiza stewarti
Striolated Bunting,Emberiza striolata
Yellow Bunting,Emberiza sulphurata
Cinnamon-breasted Bunting,Emberiza tahapisi
Tristram's Bunting,Emberiza tristrami
Gray Bunting,Emberiza variabilis
Ochre-rumped Bunting,Emberiza yessoensis
Wedge-tailed Grass-Finch,Emberizoides herbicola
Lesser Grass-Finch,Emberizoides ypiranganus
Pale-throated Pampa-Finch,Embernagra longicauda
Great Pampa-Finch,Embernagra platensis
Gray-capped Warbler,Eminia lepida
Pine Flycatcher,Empidonax affinis
White-throated Flycatcher,Empidonax albigularis
Alder Flycatcher,Empidonax alnorum
Black-capped Flycatcher,Empidonax atriceps
Pacific-slope Flycatcher,Empidonax difficilis
Yellowish Flycatcher,Empidonax flavescens
Yellow-bellied Flycatcher,Empidonax flaviventris
Buff-breasted Flycatcher,Empidonax fulvifrons
Hammond's Flycatcher,Empidonax hammondii
Least Flycatcher,Empidonax minimus
Dusky Flycatcher,Empidonax oberholseri
Cordilleran Flycatcher,Empidonax occidentalis
Willow Flycatcher,Empidonax traillii
Acadian Flycatcher,Empidonax virescens
Gray Flycatcher,Empidonax wrightii
Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus
Variegated Flycatcher,Empidonomus varius
Engine,Engine
Austral Parakeet,Enicognathus ferrugineus
Slender-billed Parakeet,Enicognathus leptorhynchus
White-crowned Forktail,Enicurus leschenaulti
Spotted Forktail,Enicurus maculatus
Slaty-backed Forktail,Enicurus schistaceus
Black Solitaire,Entomodestes coracinus
White-eared Solitaire,Entomodestes leucotis
Blue-faced Honeyeater,Entomyzon cyanotis
Environmental,Environmental
Galah,Eolophus roseicapilla
Yellow-billed Grosbeak,Eophona migratoria
Japanese Grosbeak,Eophona personata
Eastern Yellow Robin,Eopsaltria australis
Black Sicklebill,Epimachus fastosus
Brown Sicklebill,Epimachus meyeri
Rio Madeira Stipplethroat,Epinecrophylla amazonica
Rufous-tailed Stipplethroat,Epinecrophylla erythrura
Checker-throated Stipplethroat,Epinecrophylla fulviventris
Brown-bellied Stipplethroat,Epinecrophylla gutturalis
Rufous-backed Stipplethroat,Epinecrophylla haematonota
White-eyed Stipplethroat,Epinecrophylla leucophthalma
Ornate Stipplethroat,Epinecrophylla ornata
Foothill Stipplethroat,Epinecrophylla spodionota
Crimson Chat,Epthianura tricolor
Yellow-rumped Eremomela,Eremomela gregalis
Yellow-bellied Eremomela,Eremomela icteropygialis
Senegal Eremomela,Eremomela pusilla
Greencap Eremomela,Eremomela scotops
Horned Lark,Eremophila alpestris
Ashy-crowned Sparrow-Lark,Eremopterix griseus
Madagascar Lark,Eremopterix hova
Black-crowned Sparrow-Lark,Eremopterix nigriceps
European Robin,Erithacus rubecula
White-bellied Erpornis,Erpornis zantholeuca
Yellow Flycatcher,Erythrocercus holochlorus
Black-necklaced Scimitar-Babbler,Erythrogenys erythrocnemis
Rusty-cheeked Scimitar-Babbler,Erythrogenys erythrogenys
Black-streaked Scimitar-Babbler,Erythrogenys gravivox
Large Scimitar-Babbler,Erythrogenys hypoleucos
Spot-breasted Scimitar-Babbler,Erythrogenys mcclellandi
Gray-sided Scimitar-Babbler,Erythrogenys swinhoei
Blue-banded Pitta,Erythropitta arquata
Blue-breasted Pitta,Erythropitta erythrogaster
Garnet Pitta,Erythropitta granatina
Papuan Pitta,Erythropitta macklotii
North Moluccan Pitta,Erythropitta rufiventris
Black-crowned Pitta,Erythropitta ussheri
Blue-faced Parrotfinch,Erythrura trichroa
Beach Thick-knee,Esacus magnirostris
Great Thick-knee,Esacus recurvirostris
Common Waxbill,Estrilda astrild
Orange-cheeked Waxbill,Estrilda melpoda
Black-crowned Waxbill,Estrilda nonnula
Fawn-breasted Waxbill,Estrilda paludicola
Black-rumped Waxbill,Estrilda troglodytes
Red-headed Barbet,Eubucco bourcierii
Lemon-throated Barbet,Eubucco richardsoni
Rufous-rumped Antwren,Euchrepomis callinota
Chestnut-shouldered Antwren,Euchrepomis humeralis
Ash-winged Antwren,Euchrepomis spodioptila
Gray-headed Tanager,Eucometis penicillata
White Ibis,Eudocimus albus
Elegant Crested-Tinamou,Eudromia elegans
Black-billed Koel,Eudynamys melanorhynchus
Pacific Koel,Eudynamys orientalis
Asian Koel,Eudynamys scolopaceus
Southern Rockhopper Penguin,Eudyptes chrysocome
Little Penguin,Eudyptula minor
Rivoli's Hummingbird,Eugenes fulgens
Talamanca Hummingbird,Eugenes spectabilis
Ochre-flanked Tapaculo,Eugralla paradoxa
Turquoise-browed Motmot,Eumomota superciliosa
Nilgiri Flycatcher,Eumyias albicaudatus
Indigo Flycatcher,Eumyias indigo
Turquoise Flycatcher,Eumyias panayensis
Verditer Flycatcher,Eumyias thalassinus
Carolina Ground Cricket,Eunemobius carolinus
Confused Ground Cricket,Eunemobius confusus
African Silverbill,Euodice cantans
Indian Silverbill,Euodice malabarica
Malaysian Rail-babbler,Eupetes macrocerus
Sombre Hummingbird,Eupetomena cirrochloris
Swallow-tailed Hummingbird,Eupetomena macroura
Rusty Blackbird,Euphagus carolinus
Brewer's Blackbird,Euphagus cyanocephalus
Stripe-tailed Hummingbird,Eupherusa eximia
Scrub Euphonia,Euphonia affinis
Tawny-capped Euphonia,Euphonia anneae
Golden-sided Euphonia,Euphonia cayennensis
Green-throated Euphonia,Euphonia chalybea
Purple-throated Euphonia,Euphonia chlorotica
Golden-bellied Euphonia,Euphonia chrysopasta
Velvet-fronted Euphonia,Euphonia concinna
Finsch's Euphonia,Euphonia finschi
Fulvous-vented Euphonia,Euphonia fulvicrissa
Olive-backed Euphonia,Euphonia gouldi
Yellow-throated Euphonia,Euphonia hirundinacea
Spot-crowned Euphonia,Euphonia imitans
Thick-billed Euphonia,Euphonia laniirostris
Yellow-crowned Euphonia,Euphonia luteicapilla
Bronze-green Euphonia,Euphonia mesochrysa
White-vented Euphonia,Euphonia minuta
Chestnut-bellied Euphonia,Euphonia pectoralis
Plumbeous Euphonia,Euphonia plumbea
Rufous-bellied Euphonia,Euphonia rufiventris
Trinidad Euphonia,Euphonia trinitatis
Violaceous Euphonia,Euphonia violacea
Orange-bellied Euphonia,Euphonia xanthogaster
Yellow-crowned Bishop,Euplectes afer
Red-collared Widowbird,Euplectes ardens
Yellow Bishop,Euplectes capensis
Northern Red Bishop,Euplectes franciscanus
Black-winged Bishop,Euplectes hordeaceus
Southern Red Bishop,Euplectes orix
Long-tailed Widowbird,Euplectes progne
Black Bustard,Eupodotis afra
White-quilled Bustard,Eupodotis afraoides
Blue Bustard,Eupodotis caerulescens
Red-crested Bustard,Eupodotis ruficrista
White-bellied Bustard,Eupodotis senegalensis
Karoo Bustard,Eupodotis vigorsii
Peach-fronted Parakeet,Eupsittula aurea
Cactus Parakeet,Eupsittula cactorum
Orange-fronted Parakeet,Eupsittula canicularis
Olive-throated Parakeet,Eupsittula nana
Brown-throated Parakeet,Eupsittula pertinax
Eared Quetzal,Euptilotis neoxenus
Ansorge's Greenbul,Eurillas ansorgei
Plain Greenbul,Eurillas curvirostris
Yellow-whiskered Greenbul,Eurillas latirostris
Little Greenbul,Eurillas virens
White-rumped Shrike,Eurocephalus ruppelli
Spotted Nightjar,Eurostopodus argus
White-throated Nightjar,Eurostopodus mystacalis
Banded Broadbill,Eurylaimus javanicus
Black-and-yellow Broadbill,Eurylaimus ochromalus
Sunbittern,Eurypyga helias
Broad-billed Roller,Eurystomus glaucurus
Dollarbird,Eurystomus orientalis
Fulvous-headed Pygmy-Tyrant,Euscarthmus fulviceps
Rufous-crowned Pygmy-Tyrant,Euscarthmus meloryphus
Rufous-sided Pygmy-Tyrant,Euscarthmus rufomarginatus
White-tipped Sicklebill,Eutoxeres aquila
Amur Falcon,Falco amurensis
Brown Falcon,Falco berigora
Merlin,Falco columbarius
Orange-breasted Falcon,Falco deiroleucus
Aplomado Falcon,Falco femoralis
Prairie Falcon,Falco mexicanus
Lesser Kestrel,Falco naumanni
Peregrine Falcon,Falco peregrinus
Bat Falcon,Falco rufigularis
Gyrfalcon,Falco rusticolus
American Kestrel,Falco sparverius
Eurasian Hobby,Falco subbuteo
Eurasian Kestrel,Falco tinnunculus
Red-footed Falcon,Falco vespertinus
Sickle-billed Vanga,Falculea palliata
Crested Shrike-tit,Falcunculus frontatus
Zapata Wren,Ferminia cerverai
Taiga Flycatcher,Ficedula albicilla
Collared Flycatcher,Ficedula albicollis
Little Slaty Flycatcher,Ficedula basilanica
Rufous-chested Flycatcher,Ficedula dumetoria
Green-backed Flycatcher,Ficedula elisae
Slaty-backed Flycatcher,Ficedula erithacus
Pygmy Flycatcher,Ficedula hodgsoni
Snowy-browed Flycatcher,Ficedula hyperythra
European Pied Flycatcher,Ficedula hypoleuca
Mugimaki Flycatcher,Ficedula mugimaki
Narcissus Flycatcher,Ficedula narcissina
Black-and-orange Flycatcher,Ficedula nigrorufa
Red-breasted Flycatcher,Ficedula parva
Rusty-tailed Flycatcher,Ficedula ruficauda
Semicollared Flycatcher,Ficedula semitorquata
Rufous-gorgeted Flycatcher,Ficedula strophiata
Kashmir Flycatcher,Ficedula subrubra
Ultramarine Flycatcher,Ficedula superciliaris
Slaty-blue Flycatcher,Ficedula tricolor
Little Pied Flycatcher,Ficedula westermanni
Yellow-rumped Flycatcher,Ficedula zanthopygia
Fireworks,Fireworks
Black Jacobin,Florisuga fusca
White-necked Jacobin,Florisuga mellivora
Black-backed Water-Tyrant,Fluvicola albiventer
Masked Water-Tyrant,Fluvicola nengeta
Pied Water-Tyrant,Fluvicola pica
Black-faced Antthrush,Formicarius analis
Rufous-capped Antthrush,Formicarius colma
Mayan Antthrush,Formicarius moniliger
Black-headed Antthrush,Formicarius nigricapillus
Rufous-fronted Antthrush,Formicarius rufifrons
Rufous-breasted Antthrush,Formicarius rufipectus
Marsh Antwren,Formicivora acutirostris
Black-hooded Antwren,Formicivora erythronotos
Sincora Antwren,Formicivora grantsaui
White-fringed Antwren,Formicivora grisea
Narrow-billed Antwren,Formicivora iheringi
Black-bellied Antwren,Formicivora melanogaster
Rusty-backed Antwren,Formicivora rufa
Serra Antwren,Formicivora serrana
Pacific Parrotlet,Forpus coelestis
Spectacled Parrotlet,Forpus conspicillatus
Mexican Parrotlet,Forpus cyanopygius
Dusky-billed Parrotlet,Forpus modestus
Green-rumped Parrotlet,Forpus passerinus
Cobalt-rumped Parrotlet,Forpus xanthopterygius
Red Fody,Foudia madagascariensis
Mauritius Fody,Foudia rubra
Eastern Wattled-Honeyeater,Foulehaio carunculatus
Western Wattled-Honeyeater,Foulehaio procerior
Black Francolin,Francolinus francolinus
Painted Francolin,Francolinus pictus
Chinese Francolin,Francolinus pintadeanus
Ashy Flycatcher,Fraseria caerulescens
Gray-throated Tit-Flycatcher,Fraseria griseigularis
African Forest-Flycatcher,Fraseria ocreata
Gray Tit-Flycatcher,Fraseria plumbea
Atlantic Puffin,Fratercula arctica
Fulvous Antshrike,Frederickena fulva
Undulated Antshrike,Frederickena unduliger
Black-throated Antshrike,Frederickena viridis
Christmas Island Frigatebird,Fregata andrewsi
Lesser Frigatebird,Fregata ariel
Magnificent Frigatebird,Fregata magnificens
Great Frigatebird,Fregata minor
Common Chaffinch,Fringilla coelebs
Brambling,Fringilla montifringilla
Hawaiian Coot,Fulica alai
American Coot,Fulica americana
Slate-colored Coot,Fulica ardesiaca
Red-gartered Coot,Fulica armillata
Eurasian Coot,Fulica atra
Red-knobbed Coot,Fulica cristata
Giant Coot,Fulica gigantea
Red-fronted Coot,Fulica rufifrons
Northern Fulmar,Fulmarus glacialis
Taiwan Fulvetta,Fulvetta formosana
Spectacled Fulvetta,Fulvetta ruficapilla
White-browed Fulvetta,Fulvetta vinipectus
Crested Hornero,Furnarius cristatus
Wing-banded Hornero,Furnarius figulus
Pale-legged Hornero,Furnarius leucopus
Lesser Hornero,Furnarius minor
Rufous Hornero,Furnarius rufus
White-eared Jacamar,Galbalcyrhynchus leucotis
Purus Jacamar,Galbalcyrhynchus purusianus
Yellow-billed Jacamar,Galbula albirostris
Purplish Jacamar,Galbula chalcothorax
Bluish-fronted Jacamar,Galbula cyanescens
Blue-cheeked Jacamar,Galbula cyanicollis
Paradise Jacamar,Galbula dea
Green-tailed Jacamar,Galbula galbula
Bronzy Jacamar,Galbula leucogastra
Coppery-chested Jacamar,Galbula pastazae
Rufous-tailed Jacamar,Galbula ruficauda
White-chinned Jacamar,Galbula tombacea
Crested Lark,Galerida cristata
Tawny Lark,Galerida deva
Large-billed Lark,Galerida magnirostris
Malabar Lark,Galerida malabarica
Thekla's Lark,Galerida theklae
Watercock,Gallicrex cinerea
Puna Snipe,Gallinago andina
Wilson's Snipe,Gallinago delicata
Common Snipe,Gallinago gallinago
Latham's Snipe,Gallinago hardwickii
Imperial Snipe,Gallinago imperialis
Jameson's Snipe,Gallinago jamesoni
Magellanic Snipe,Gallinago magellanica
Great Snipe,Gallinago media
Swinhoe's Snipe,Gallinago megala
Noble Snipe,Gallinago nobilis
Paraguayan Snipe,Gallinago paraguaiae
Pin-tailed Snipe,Gallinago stenura
Giant Snipe,Gallinago undulata
